input_domain,prospect_tier,overall_score,design_score,mobile_score,performance_score,seo_score,trust_score,accessibility_score,best_practices_score,lcp_seconds,cls,tbt_ms,pagespeed_used,url,response_time_sec,is_https,pitch_points_count,pitch_summary
demercydental.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),67,45,100,10,100,100,,,,,,False,https://demercydental.com,4.68,True,6,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Uses legacy image formats (GIF/BMP) instead of crisp vector SVG or high-compression WebP. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
smyrnafamilydentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),69,55,100,35,75,90,,,,,,False,https://smyrnafamilydentistry.com,0.72,True,7,"Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 7 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | High HTTP request bottleneck (6 CSS files, 18 JS scripts)."
bigcreekfamilydentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),70,45,100,30,100,100,,,,,,False,https://bigcreekfamilydentistry.com,3.89,True,6,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | Uses legacy image formats (GIF/BMP) instead of crisp vector SVG or high-compression WebP. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
legacydentalatlanta.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),70,45,100,70,70,90,,,,,,False,https://legacydentalatlanta.com,0.72,True,9,Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 4 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads.
atlantadentalcenter.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),71,45,100,35,100,100,,,,,,False,https://atlantadentalcenter.com,1.05,True,6,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | 48 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
brightworksdentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),72,55,100,15,100,100,,,,,,False,https://brightworksdentistry.com,2.35,True,6,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | Page response time is slightly slow (2.35s). Optimizing assets can boost conversion rates."
zentooth.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),72,55,100,35,80,100,,,,,,False,https://zentooth.com,0.67,True,6,"Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 18 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | High HTTP request bottleneck (7 CSS files, 33 JS scripts)."
greatexpressions.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),73,45,100,50,100,100,,,,,,False,https://greatexpressions.com,0.81,True,5,Excessive inline styles detected; makes visual modifications and re-branding inefficient. | 19 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads.
smyrna.mintdentistry.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),73,65,65,50,100,100,,,,,,False,https://smyrna.mintdentistry.com,0.22,True,4,"Lacks modern web typography (using default browser fonts), reducing brand prestige. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | Lacks responsive CSS media queries — layout fails to adapt smoothly to modern tablet/mobile screens. | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
smilegeorgia.com,MEDIUM POTENTIAL LEAD (Modernization Opportunity),73,45,100,50,100,100,,,,,,False,https://smilegeorgia.com,1.02,True,5,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | 15 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads."
drdodge.com,LOW POTENTIAL (Site is already modern),76,60,100,70,70,90,,,,,,False,https://drdodge.com,1.06,True,8,"8 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | High HTTP request bottleneck (15 CSS files, 20 JS scripts)."
mariettasmiles.com,LOW POTENTIAL (Site is already modern),76,55,65,100,100,90,,,,,,False,https://mariettasmiles.com,0.67,True,5,"Lacks modern web typography (using default browser fonts), reducing brand prestige. | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | Lacks responsive CSS media queries — layout fails to adapt smoothly to modern tablet/mobile screens."
piedmontperiodontics.com,LOW POTENTIAL (Site is already modern),76,70,100,35,100,75,,,,,,False,https://piedmontperiodontics.com,0.41,True,5,"Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | High HTTP request bottleneck (27 CSS files, 15 JS scripts). | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
mariettacosmeticdentist.com,LOW POTENTIAL (Site is already modern),77,55,100,50,100,100,,,,,,False,https://mariettacosmeticdentist.com,0.63,True,4,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
reichdentalcenter.com,LOW POTENTIAL (Site is already modern),77,55,100,50,100,100,,,,,,False,https://reichdentalcenter.com,0.85,True,4,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | CONTRIBUTING PATTERN: Layout relies on legacy float positioning alongside fixed dimensions, compounding mobile layout shift issues. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
trucaredentistry.com,LOW POTENTIAL (Site is already modern),77,55,65,100,100,100,,,,,,False,https://trucaredentistry.com,0.54,True,4,"Lacks modern web typography (using default browser fonts), reducing brand prestige. | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | Lacks responsive CSS media queries — layout fails to adapt smoothly to modern tablet/mobile screens."
comfortdentalatlanta.com,LOW POTENTIAL (Site is already modern),78,60,100,50,100,100,,,,,,False,https://comfortdentalatlanta.com,1.89,True,4,"29 images are missing ALT descriptive tags (hurts image search ranking and accessibility). | Lacks interactive micro-animations or modern hover state feedback for visitors. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
sunshinesmilesdentistry.com,LOW POTENTIAL (Site is already modern),78,65,100,35,100,100,,,,,,False,https://sunshinesmilesdentistry.com,0.37,True,4,"Excessive inline styles detected; makes visual modifications and re-branding inefficient. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | High HTTP request bottleneck (28 CSS files, 34 JS scripts). | URGENT: Flash/Embed technology detected, which is completely unsupported on modern web browsers."
acefamilydental.com,LOW POTENTIAL (Site is already modern),82,50,100,100,100,100,,,,,,False,https://acefamilydental.com,1.8,True,3,[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | Excessive inline styles detected; makes visual modifications and re-branding inefficient. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads.
reveorthodontics.com,LOW POTENTIAL (Site is already modern),82,65,100,65,100,100,,,,,,False,https://reveorthodontics.com,2.45,True,4,"[Stage 1 Pre-Filter] POTENTIAL OVERLAP RISK: Uncontained absolute CSS positioning detected. Run !confirm to verify bounding box collisions. | No clear Call-To-Action (CTA) buttons found above or below the fold to convert visitors into phone calls/leads. | Page response time is slightly slow (2.45s). Optimizing assets can boost conversion rates. | High HTTP request bottleneck (14 CSS files, 14 JS scripts)."
